,제목,링크,시간,코인 이름
89,"[코인리더스] 비탈릭 ""이더리움 클래식, POW 채굴자들에게 훌륭한 옵션""...ETC 가격 상승 전망",https://www.coinreaders.com/40296,2022. 7. 25.,이더리움 클래식
90,미국 나스닥 하락하자 비트코인-이더리움-이더리움클래식도 불안감 노출,https://www.socialvalue.kr/news/view/1065544126351562,2022. 9. 27.,이더리움 클래식
91,"솔라나-비트코인-이더리움-이더리움클래식, 악재 뜸하자 2~3일 전 가격으로 회복",https://www.socialvalue.kr/news/view/1065546351732123,2022. 11. 16.,이더리움 클래식
92,이더리움클래식 해시레이트 사상 최고치...'머지' 앞두고 채굴자 유입 By TokenPost,https://kr.investing.com/news/cryptocurrency-news/article-825784,2022. 8. 22.,이더리움 클래식
93,"비트코인 2600만원, 이더리움 188만원...상황은? < 블록체인 < IT/스타트업 < 기사본문",https://www.econovill.com/news/articleView.html?idxno=605000,1개월 전,이더리움 클래식
94,이더리움 클래식 더 유연하다? 해시레이트 폭발,https://www.econovill.com/news/articleView.html?idxno=589642,2022. 9. 15.,이더리움 클래식
95,[4일 급등 코인] 에이피이앤에프티 20% 상승... 이더리움 클래식 등 14%↑,https://idsn.co.kr/news/view/1065621550713489,2023. 1. 4.,이더리움 클래식
96,비트코인-이더리움-이더리움클래식 소폭 상승세...솔라나는 계속 뒷걸음질,https://www.socialvalue.kr/news/view/1065543761794072,2022. 11. 19.,이더리움 클래식
97,"[코인리더스] 이더리움클래식 12% 넘게 급락...""ETHW·ETC 채굴자, 10%만 생존할 것""",https://www.coinreaders.com/45776,2022. 9. 19.,이더리움 클래식
98,[블록렌즈] 이더리움 하드포크 코인 'ETHW' 받는 법,https://www.etoday.co.kr/news/view/2163231,2022. 8. 13.,이더리움 클래식
99,이더리움 클래식 5만원 재탈환 < IT/스타트업 < IT/스타트업 < 기사본문,https://www.econovill.com/news/articleView.html?idxno=584753,2022. 8. 6.,이더리움 클래식
100,"이더리움 상하이 하드포크, 2023년 3월 예정",https://www.digitaltoday.co.kr/news/articleView.html?idxno=466382,2022. 12. 9.,이더리움 클래식
101,"이더리움, 머지 업그레이드로 시장 활력 주도…“더 오른다” - 서울경제",https://www.sedaily.com/NewsView/26B0PGWQKO,2022. 9. 10.,이더리움 클래식
102,[코인리더스] 이더리움 클래식(ETC) 30% 급등...왜?,https://www.coinreaders.com/39487,2022. 7. 17.,이더리움 클래식
103,"[코인리더스] 이더리움 머지 후...비트코인·도지코인·이더리움클래식, `빅3` 작업증명 블록체인",https://www.coinreaders.com/45708,2022. 9. 17.,이더리움 클래식
104,"[이더 머지] 이더리움 클래식, 해시레이트 역대 최고 갱신…채굴 세력 이동",https://www.blockmedia.co.kr/archives/256315,2022. 9. 15.,이더리움 클래식
105,솔라나 폭등 반전으로 비트코인-이더리움-이더리움클래식도 동반 급등세,https://www.socialvalue.kr/news/view/1065544271553887,2022. 11. 11.,이더리움 클래식
106,"[코인리더스] 이더리움클래식 ""최초 그리고 표준의 PoW 이더리움 체인""...ETC 6% 랠리",https://www.coinreaders.com/42000,2022. 8. 10.,이더리움 클래식
107,비트코인 다시 뜬 3가지 이유...‘뱅크런 공포’ ‘금리동결 기대’ ‘곧 올 반감기’ - 조선비즈,https://biz.chosun.com/stock/market_trend/2023/03/15/5OJWEX4XOBDR5KWIHWEKYFPLK4/,1개월 전,이더리움 클래식
108,[투자노트] 이더리움 ‘머지’ 완료…비트코인 시가총액 넘어설 날 올까 - 조선비즈,https://biz.chosun.com/stock/analysis-prospect/2022/09/16/MU767WZIAVFV5FBESER23OWP3E/,2022. 9. 16.,이더리움 클래식
109,"작업증명 기반 이더리움 'ETHPoW', 데뷔 하자마자 장애...가격도 75% '뚝'",https://www.digitaltoday.co.kr/news/articleView.html?idxno=461594,2022. 9. 17.,이더리움 클래식
